ProjectGroupID,AltProjectID,ProjectID,ElementName,Division,MetroAreaID,Latitude,Longitude,Address,city,State,state_fips,ZipCode,County,MetroAreaTitle,CountyName,county_fips,cbsa_code,cbsa_name,msa_name,ProductID,ProductDescription,Active,MinSquareFootage,MaxSquareFootage,MinBaseSalesPrice,MaxBaseSalesPrice,ProductTypeID,NumberBedrooms,NumberFullBaths,NumberHalfBaths,NumberGarageSpaces
BLW,BLW3,Barr Lake Willows SFD,Barr Lake Willows SFD (BLW3),Columbia,1010,33.961442,-81.261359,115 Mossback Trail,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001471,Winchester,Y,2893,3569,355900.00,372900.00,4,4,3,NULL,2
CU,CU,Capital Court,Capital Court (CU),Maryland,1001,38.8917,-76.8407,9605 Capital Lane,Largo,MD,24,20774,15,Maryland,Prince George’s,33,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,D05,Jenkins SLAB,Y,1943,2326,444990.00,452990.00,2,3,2,1,2
BIP,651,The Cove at Folly TH,The Cove at Folly TH (651),Charleston,1008,32.676819,-79.961005,1935 Bowens Island Road,Charleston,SC,45,29412,31,Charleston,Charleston,19,16700,Charleston-North Charleston SC,Charleston-North Charleston SC MSA,001621,Sandpiper,Y,2236,2248,685900.00,691900.00,2,3,3,1,2
CRW,CRW3,Club Ridge at Woodcreek SFD,Club Ridge at Woodcreek SFD (CRW3),Columbia,1010,34.122649,-80.81733,Club Ridge Rd,Elgin,SC,45,29045,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001450,Stapleton,Y,1683,2603,274900.00,284900.00,4,2,2,0,2
25,25,Inwood SFD,Inwood SFD (25),Atlanta,1007,34.113730,-84.530147,138 Meadow Mill Road,Woodstock,GA,13,30188,28,Atlanta,Cherokee,57,12060,Atlanta-Sandy Springs-Alpharetta GA,Atlanta GA MSA,E15,Amelia SLAB,Y,2729,4365,609285.00,617500.00,4,4,2,1,2
WIM,WIM4,Windsor Mill SFD,Windsor Mill SFD (WIM4),Maryland,1001,38.6317,-76.9751,9325 Pepper Mill Court,Waldorf,MD,24,20603,13,Maryland,Charles,17,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,508,Chatham,Y,2821,5999,544990.00,554990.00,4,4,2,1,2
IRV,IRV3,Indian River SFD,Indian River SFD (IRV3),Columbia,1010,33.905958,-81.165443,948 Indian River Drive,Columbia,SC,45,29170,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001475,Springfield,Y,3980,4480,396900.00,407900.00,4,5,4,1,2
PTP,PTP3,Peachtree Park SFD,Peachtree Park SFD (PTP3),Greenville/Spartanburg,1012,34.901119,-82.081609,376 White Peach Way,Duncan,SC,45,29334,39,Greenville/Spartanburg,Spartanburg,83,43900,Spartanburg SC,Greenville-Spartanburg-Anderson SC MSA,001428,Fairview,Y,2170,2170,255900.00,261900.00,4,4,2,1,2
CV,CV,Cresset Overlook,Cresset Overlook (CV),Raleigh,1004,35.9740288,-78.9760817,3601 Cedarbird Way,Durham,NC,37,27707,35,Raleigh/Durham,Durham,63,20500,Durham-Chapel Hill NC,Raleigh-Durham-Chapel Hill NC MSA,R65,Edison II CRWL,Y,2641,3639,499990.00,512990.00,4,3,2,1,2
VCV,VCV3,The Villas at Covington SFD,The Villas at Covington SFD (VCV3),Charlotte,1011,35.023497,-80.863341,4529 Queens Garden Terrace,Indian Land,SC,45,29707,47,Charlotte,Lancaster,57,16740,Charlotte-Concord-Gastonia NC-SC,NULL,001752,Hazelwood BSMT,Y,2025,3067,520100.00,523100.00,4,4,3,0,2
