ZipCode,Latitude,Longitude,State,StateFullName,City,CityAliasName,CountyMixedCase
28353,34.7736,-79.4632,NC,North Carolina,LAURINBURG,LAURINBURG,Scotland
28355,35.3686,-79.1856,NC,North Carolina,LEMON SPRINGS,LEMON SPRINGS,Lee
28356,35.23131,-78.783586,NC,North Carolina,LINDEN,LINDEN,Cumberland
28357,34.905448,-79.077793,NC,North Carolina,LUMBER BRIDGE,LUMBER BRIDGE,Robeson
28358,34.592052,-78.967289,NC,North Carolina,LUMBERTON,LUMBERTON,Robeson
28359,34.6181,-79.0086,NC,North Carolina,LUMBERTON,LUMBERTON,Robeson
28360,34.660208,-79.079674,NC,North Carolina,LUMBERTON,LUMBERTON,Robeson
28362,34.366856,-79.120476,NC,North Carolina,MARIETTA,MARIETTA,Robeson
28363,34.980128,-79.620281,NC,North Carolina,MARSTON,MARSTON,Richmond
28364,34.715876,-79.336443,NC,North Carolina,MAXTON,MAXTON,Robeson
28365,35.179611,-78.078328,NC,North Carolina,MOUNT OLIVE,MOUNT OLIVE,Wayne
28366,35.24335,-78.36939,NC,North Carolina,NEWTON GROVE,NEWTON GROVE,Sampson
28367,35.174074,-79.72869,NC,North Carolina,NORMAN,NORMAN,Richmond
28368,35.349539,-79.095414,NC,North Carolina,OLIVIA,OLIVIA,Harnett
28369,34.426164,-79.035678,NC,North Carolina,ORRUM,ORRUM,Robeson
28370,35.1995,-79.4706,NC,North Carolina,PINEHURST,PINEHURST,Moore
28371,34.902011,-78.993091,NC,North Carolina,PARKTON,PARKTON,Robeson
28372,34.690823,-79.168973,NC,North Carolina,PEMBROKE,PEMBROKE,Robeson
