iter	Passed	Remaining
919	4800	417
920	4805	412
921	4810	406
922	4815	401
923	4820	396
924	4825	391
925	4830	386
926	4835	380
927	4840	375
928	4845	370
929	4850	365
930	4855	359
931	4859	354
932	4865	349
933	4870	344
934	4875	338
935	4880	333
936	4884	328
937	4889	323
938	4894	317
939	4899	312
940	4904	307
941	4910	302
942	4915	297
943	4919	291
944	4924	286
945	4929	281
946	4934	276
947	4939	270
948	4944	265
949	4949	260
950	4954	255
951	4959	250
952	4964	244
953	4970	239
954	4975	234
955	4979	229
956	4985	223
957	4989	218
958	4995	213
959	5000	208
960	5004	203
961	5010	197
962	5016	192
963	5021	187
964	5026	182
965	5031	177
966	5036	171
967	5042	166
968	5047	161
969	5051	156
970	5056	151
971	5061	145
972	5066	140
973	5071	135
974	5076	130
975	5080	124
976	5085	119
977	5090	114
978	5095	109
979	5100	104
980	5105	98
981	5111	93
982	5116	88
983	5122	83
984	5128	78
985	5134	72
986	5140	67
987	5145	62
988	5150	57
989	5156	52
990	5162	46
991	5167	41
992	5174	36
993	5179	31
994	5184	26
995	5189	20
996	5195	15
997	5200	10
998	5205	5
999	5210	0
